band,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15,bit16,bit17,bit18,bit19,bit20,bit21,bit22,bit23,bit24,bit25,bit26,bit27,bit28,bit29,bit30,bit31,bit32
0,0.5972913775583933,0.10356440865386851,0.7800764424992584,0.1753128411287208,0.707722786196796,0.09401455813118587,0.4031920463224017,0.9566836999668428,0.3633753483482769,0.5053850045804302,0.6647939940217225,0.4518772645813135,0.41851163269699887,0.841431318242476,0.9700927051376896,0.9296295058784481,0.9188181201750978,0.24571300002336982,0.16870945264049886,0.2817279072578035,0.7853666462215647,0.9843236769361504,0.24721063660301545,0.4838264086315879,0.22814857687043444,0.6085443846331952,0.60230913685545,0.8047695073474711,0.22522789152590938,0.8875086443199308,0.7291233234517461,0.7483503876665982
1,0.005900395511489465,0.5539738955759373,0.36764331815638884,0.6957323039055037,0.020095105397036406,0.20201688570828813,0.15545290488668273,0.9290674859656497,0.24796624170053083,0.5963921641744573,0.07564753514543077,0.007247386215183282,0.6717734990690379,0.8891393252424286,0.6029005923586886,0.4431403924956365,0.6403359521934553,0.37627195109657663,0.16754157850716345,0.7054750930085996,0.19599590878386652,0.6593943685468734,0.1710828202603838,0.034840948183369025,0.5881675782583267,0.03947697929374594,0.3608144878419366,0.3735480168309988,0.09432125793509749,0.6406119886641559,0.8258259583569528,0.49471884423458756
2,0.8752117312585138,0.0932141598781423,0.4078335632481773,0.9133490074472173,0.2014268705760075,0.3131742334627219,0.42687248660214483,0.06925156775778296,0.6035703085154442,0.21452897121078263,0.40970984067674254,0.2133502381220178,0.501538620465154,0.0240329487245321,0.09626020278933378,0.202805353773166,0.34786328045223136,0.6084831723969212,0.06917155676002673,0.0963210642254968,0.08778103736988863,0.31415156392221055,0.25441084821808746,0.5356927476248465,0.9396575507630118,0.18297463311784,0.7718812117484845,0.5210474119814658,0.25312086307327686,0.4589286234659553,0.046929433171552515,0.9829352494400484
3,0.20446406947521045,0.21767230703701201,0.3582547917588095,0.8694885344364174,0.5629280542801068,0.08503120910357853,0.14000438457597209,0.8490815578467356,0.9187332987045689,0.18635116515148986,0.03143709289273178,0.21940990856112108,0.41293790599867564,0.5521740172292189,0.5919359704189002,0.15543151615043627,0.37304689915287603,0.5881689796873822,0.21230855633368306,0.9174533846478733,0.5886257476512253,0.42871615219410564,0.5001252954908335,0.793253685739729,0.7275176414550142,0.42908886526266865,0.5427373110467207,0.009136140078873534,0.17898471243746472,0.7299674675346758,0.9906853872598999,0.5628597104012062
4,0.5449465918137801,0.4169314881453071,0.4309156222791003,0.8061587341656206,0.34676576459785446,0.9884415815218889,0.7464184350790435,0.8494439584972754,0.8569417233650525,0.33313844607364607,0.6359079132237421,0.7467319929681883,0.3118622144523565,0.31525440243039027,0.7794236744675382,0.0012698586874623219,0.28954258659058196,0.5409655433477272,0.5746510682859912,0.6775426890550128,0.6265981235808114,0.05827533260555051,0.35777353926171884,0.4384952991031257,0.5224917632006589,0.7359754336380313,0.778833834686312,0.16956830241266108,0.9573862554321598,0.8261208517973548,0.8728325521088551,0.9878018997417893
5,0.8902662285073362,0.3819032245111571,0.9575391296117445,0.9559359657388692,0.7072835734603009,0.7898673208439194,0.9285785205927004,0.9793899497250685,0.13358297480762238,0.648257405376451,0.6282979238213279,0.12933333334237684,0.12652003665944755,0.3166990766236144,0.3804789378194463,0.8452949626934705,0.43880456528591605,0.41888918418452503,0.5029236252766311,0.986215652651179,0.9137343319431576,0.8465943291044035,0.09202641674488954,0.3301631241920314,0.3355123909224281,0.8516552000380343,0.7428253225007776,0.9035382669136867,0.3239600842642548,0.3849197054790847,0.2673553546519788,0.9547161068088391
6,0.8374912466398077,0.6361965820209109,0.9018782804841786,0.5328057620337451,0.5799320808621176,0.2626599326363118,0.5414792684227105,0.9535727969880479,0.7968118244800786,0.5853782286453155,0.12329271058478031,0.5973307582750366,0.11014036237831892,0.9349956192649639,0.12775406964503455,0.21066679059047222,0.20603425788899243,0.349926400701713,0.39492980416772727,0.8576320528212212,0.8439147834722441,0.880439049733529,0.7286173309187044,0.7719535758492648,0.9937853213598634,0.20410818051744306,0.22745705085433865,0.29639768851637327,0.4862008012894401,0.4087408478273613,0.012774235536187062,0.3333193256208786
7,0.5500587762001906,0.7796057266436651,0.25122009000390844,0.6808043156747641,0.20325673827186896,0.11205544955393021,0.12450481805311842,0.49032286107094625,0.35751324456295996,0.7061440703956751,0.8508941321587156,0.33380413120044516,0.708041263919249,0.7057412803780244,0.8945014968869603,0.9181927027948579,0.49662355433116834,0.34007042785048314,0.7219615541548894,0.2306947169378465,0.2725885554591646,0.5527662262598321,0.2596943668870777,0.9226694917030658,0.5616466442590895,0.5282856006769835,0.8951163754372103,0.40165906394412254,0.9415751338682745,0.9393034108663115,0.9372520177146996,0.8885679417551706
8,0.848081275341389,0.8000762018487669,0.1748418466506395,0.21115183680305694,0.37308332664428345,0.7448155461068529,0.5331614027011247,0.8299279461927519,0.013025876705384132,0.11627858810459735,0.23568064916339293,0.6706636515107312,0.769406628304895,0.10116311083323015,0.5671110617384869,0.08694638491046991,0.3625352794810155,0.9716707548449246,0.06062428995815139,0.16687514093572187,0.7087546518130697,0.35808206391923414,0.986988771039888,0.8346714573410753,0.78049448745052,0.4421905627884817,0.6161788807764247,0.36957854944826685,0.2961653493670491,0.16419851753300507,0.3911989782306443,0.7066425618878377
9,0.8443366889631271,0.7529757566372172,0.6672253956605676,0.15026294445772592,0.25139116846098464,0.044089857612022776,0.6740135079093708,0.8822045969181194,0.1905908731057223,0.34079315744165495,0.5540350360375353,0.8900229387797258,0.4630147368658646,0.6551856162574554,0.5652413048881095,0.5630970395002766,0.7149175323156428,0.651503606439173,0.20356650526163755,0.5902931834634948,0.787187279969793,0.30503624381245087,0.2934788585386545,0.2297867995573133,0.5964000555610431,0.9934637991575466,0.8403232876495429,0.5134559836449202,0.9839803905149199,0.03454062283463555,0.46165771392288946,0.19906852949546183
10,0.2720459388344053,0.24273328600696675,0.47351630239883635,0.32638816938172543,0.022607516917959924,0.6015178339784906,0.07682762139579447,0.4199006813017486,0.4021656324935601,0.4473696132870594,0.9786857943035674,0.8582303092041739,0.7787957221222529,0.4932714066880616,0.02830245444771473,0.35148158877011837,0.07663752662566214,0.14820792858611265,0.7425932346402853,0.8824378733425293,0.6820662030103075,0.2407740543591248,0.5932644917016016,0.17892153096058416,0.6703183368380516,0.8311724364622257,0.9055410070022171,0.9183243563916997,0.4619205078675709,0.8987374194000041,0.29867905825596053,0.9691041651763591
11,0.21014279387700707,0.5415279106706742,0.0033097849057700524,0.5656854163756319,0.8703541309864371,0.39789090392060145,0.39664941381055785,0.7322412298548311,0.06262351676400224,0.3918641065054773,0.14727688797256722,0.7744582317547324,0.11692179490917554,0.20342745828412123,0.6946190300596401,0.34591047653200857,0.057898372548144006,0.1072359420170731,0.57447847208817,0.005536926808981213,0.6472643662342595,0.00992606454658218,0.6594613880689125,0.6766529092593262,0.9701926571311902,0.30181154831962154,0.6019944940441647,0.27221414112922937,0.10839414936546776,0.8827441002674675,0.03661984270943763,0.8130870659637934
12,0.9825350560121228,0.1837373676172105,0.3049729816298723,0.6063713972749819,0.6726544286774221,0.47166927533650194,0.503785814498171,0.31132365358801994,0.9243482530921062,0.1799497861511602,0.7029837820847687,0.5141073425264131,0.5598110666833975,0.7721584261212863,0.7968108505193352,0.6657490321898187,0.08647185746026387,0.7367656277434128,0.4099227337720759,0.5005777575529157,0.04129814618932737,0.6710788199260235,0.750120028552791,0.8474418029719448,0.14401697350621656,0.4963636937635837,0.6611021287191048,0.8574591483965924,0.8662854542410876,0.9094427189042112,0.06627867318245717,0.07943436928784553
13,0.17165258516043236,0.0870667585386472,0.18014213550121405,0.6066258238964761,0.5819354138110896,0.744958663399253,0.6276241738555312,0.013450252554450315,0.10069629909944633,0.2837876796602159,0.8144583739388226,0.8711535280009962,0.04385899042349273,0.8450751528047427,0.8778126668769373,0.6380035217686638,0.5394668114243883,0.650798151366208,0.5269077463640728,0.5561910761513783,0.9800816369147735,0.17854044619333131,0.7480197866448048,0.6360356515815612,0.5059070865167741,0.01724265445105,0.4408168794991437,0.11416999838113784,0.8719209151652999,0.7551168692878786,0.10300114321176423,0.8069849396939095
14,0.11841200675861963,0.16675885530833823,0.3575813259824542,0.08641304968914254,0.6042748552528463,0.10391278917020397,0.36397656457644123,0.845785072654561,0.26237231429834074,0.44326668027865535,0.5366531933376113,0.03755054510317002,0.559428479521532,0.02637495461573336,0.794346491169925,0.5353071680811785,0.6059586786560919,0.728630994073015,0.6527953127957823,0.47707808043471145,0.8643233089337559,0.7668906393725828,0.5292571978538212,0.9627723235012069,0.8887412981996688,0.6368954999245668,0.057779142736142264,0.824462384439397,0.04650813638541551,0.31043088932229046,0.6776891010181938,0.7395220856837506
15,0.7576094259154695,0.9981858006611725,0.4294166178303478,0.8599378163836102,0.4824830016807119,0.1625765401405722,0.3413544826394065,0.29284259104533317,0.11086356155295951,0.3578873799262542,0.3994333863546514,0.954219908131401,0.9684661981085062,0.37526762522736745,0.3833023656789136,0.1540225210222964,0.47134052053344866,0.6996933010342478,0.517200384482515,0.5104410269348177,0.37332424968399425,0.7182570840353549,0.21284763799727013,0.46951076104235745,0.4092351558299008,0.26639056943791195,0.9271296037415405,0.7054431166531291,0.8677832840138088,0.1574852754666778,0.17254764502617914,0.6995372509291027
16,0.9173091751931971,0.07466167261266166,0.7815450541539145,0.24974000365456472,0.8296751423772494,0.8145441054946307,0.3079646166349297,0.03439843594224434,0.31061589875465345,0.7644446877747088,0.8608113259616239,0.7002405676096864,0.27933995884514384,0.5404224796367757,0.06418331442577496,0.45137939169698205,0.46994948953089477,0.23163387503735278,0.9148608963874315,0.11861165747358915,0.7398659862320671,0.5389608877655023,0.5295934098832933,0.2201257587322647,0.45657838455751176,0.8320941552419102,0.05247889164194963,0.5534272537976813,0.992175798446099,0.9320175399792481,0.45257644947610354,0.8961153595616452
17,0.4936540860504758,0.6540372981617555,0.8180234600656723,0.5413760206156092,0.9745997330119299,0.6386286586033699,0.3363210192033117,0.8060120910377924,0.42116542885486985,0.03800653500481577,0.10515098491212171,0.3084341240517381,0.4708897456217347,0.23676340016103303,0.45541369883124805,0.7829296839121839,0.07269770456304647,0.460159074513812,0.34683552504014226,0.07518162789637595,0.6000105796594988,0.3219699967505698,0.2868592564778607,0.15682180197284656,0.6747275480908418,0.4840526592744523,0.10717633821880335,0.4808724731261532,0.9999971579145347,0.8734013790835742,0.9682475844963513,0.5579080150526953
18,0.5977429207804837,0.42685857740230904,0.30377215427130166,0.1789777320675845,0.31839665085844204,0.1639333757839877,0.9666362859523397,0.7545032218980052,0.6433285371967439,0.36688958857194565,0.7991390341116464,0.8796096908243969,0.9602203049123915,0.4721966325899244,0.6032548422058428,0.33763033788313845,0.15151944961358865,0.32222323351241344,0.7516460880952489,0.7838981196238891,0.5547785440601093,0.490886512455876,0.37581383690650494,0.8956910710150321,0.49008084968614285,0.8280184453843703,0.682314071091889,0.6045240843160873,0.908693580096966,0.4146495422523713,0.11600154760184567,0.6421883521007449
19,0.27548664779980014,0.8005525686395949,0.9058726047629575,0.15969458553656568,0.9671562406571446,0.8671123945288721,0.6973654640720638,0.5030728674340249,0.10363515863398465,0.49698605820527386,0.1631396237286129,0.28592531249913744,0.4582583470400792,0.6190453766564037,0.1414543613854642,0.9533890501307942,0.647967159540631,0.9010013229047465,0.22004566723233032,0.08333728799844409,0.444462809987328,0.48067947453104476,0.5219234064559635,0.39817567751519445,0.1561891497397041,0.8043478818879132,0.3464281197501192,0.36516000519144054,0.962583327812647,0.22815932706624642,0.11894626737894887,0.3617666166916922
20,0.13846295983626777,0.6606439467750658,0.7738456481558219,0.08252502313442589,0.7763377976934539,0.29269518810658446,0.8020292438905171,0.21194020562190785,0.8339873457174212,0.8460930981372957,0.417598075816471,0.1067010443991917,0.20708424871989994,0.5136214199894054,0.830666463418115,0.44500219745923586,0.8243909341752991,0.6622193973764964,0.10297585219299132,0.09336066557119083,0.024602085035608456,0.2026054634277139,0.6500411285311322,0.8834807515911515,0.39661118932076456,0.2789036760480219,0.8778547476463608,0.9491114041550388,0.49525426131408756,0.9311933419529691,0.8711834345402825,0.44072868266252707
21,0.6877906463022511,0.8100844320915589,0.6424004229386712,0.4461796595069345,0.1085047893391693,0.3301689763653176,0.7118469969697961,0.8446323701671655,0.1820107536548703,0.4061814036568856,0.5401173609838561,0.8769971460631288,0.4644998153292299,0.6356015080394997,0.36576969807620463,0.13815554108245642,0.3060607827468328,0.8086915401520256,0.7095668398083478,0.27885142664436413,0.17938154398902229,0.9075009764518202,0.36928613501051377,0.6100331012971572,0.14798912011535503,0.05744001858163228,0.39266759184685374,0.6164839127737108,0.7780693928056014,0.8226589410151374,0.14346100741328494,0.740768032465519
22,0.6875829730739855,0.6408010772006175,0.8548177071211039,0.32646534541797934,0.4355652830429453,0.6423577366664023,0.33788845279517377,0.18484270740018238,0.4621828877829107,0.34843573955455265,0.624913298067365,0.4171062187310889,0.08424525091666601,0.9381680012929027,0.18171414739386238,0.9133195945677898,0.7816564891867391,0.5201119048112905,0.5304303243551185,0.9732418794204296,0.5272853239210886,0.13665533863798363,0.46160800552037484,0.5125853680529957,0.502172278741954,0.026729491480757872,0.13620527206145916,0.5200738603120739,0.7064716565124419,0.22496250479780466,0.13871088588600022,0.12259932459695078
23,0.0945539481490193,0.9552093329018538,0.884373780551463,0.4566784235824317,0.06557155407176707,0.7983371413423926,0.6984927506539549,0.9274248974541661,0.8511177443198903,0.7574322431670907,0.8013613570060537,0.17073406426987747,0.8989671340295325,0.36594275794857745,0.19701271396030418,0.48380134336818803,0.28343604222955543,0.6371947010063601,0.6068212981262447,0.25924290063340194,0.09423047167093102,0.16805992887863808,0.5580281021040127,0.8817820319595996,0.3408704151375177,0.7080280214867755,0.3619018336366445,0.8465030076119929,0.5859589739327011,0.8807945130380017,0.05627231064411242,0.8218483186875747
24,0.8509038468577531,0.9623641005915083,0.9152646292657298,0.7952203570318306,0.7243910561549477,0.6078680634454278,0.9948660651442194,0.7333761003730617,0.28465475583792466,0.9126470350878954,0.690307561137485,0.7522475659915636,0.7992025094606087,0.7074238231973816,0.9378213775689342,0.6004610403362333,0.9352794373416784,0.6698014602862258,0.2835309252075243,0.826752057830476,0.8146546639452996,0.2570602593238216,0.022480892522059537,0.23363870632815154,0.09870040001929248,0.15530172007032017,0.8859280381830913,0.2280562138216421,0.7319577712188191,0.6058284711409702,0.3742702798569707,0.14540711525774297
25,0.432770189595885,0.04367160013552651,0.19514146754803807,0.7668061227742706,0.8107597377760571,0.07849638261450387,0.4460048335900857,0.3195404430319997,0.22409156235268624,0.4876896236016396,0.12884726070033847,0.49476290447832516,0.5498017607233496,0.3332108829641177,0.98264449411268,0.8997087319460448,0.8464469702272057,0.563647088893788,0.862560182957591,0.7543951066055389,0.598335234426894,0.6895816883698109,0.16742646851451493,0.2461454661188036,0.5072523979099596,0.8206091545435088,0.9842261470174006,0.6285336029824917,0.22737686425507286,0.054684940015921946,0.8796323906042769,0.36320781306890426
26,0.551016059929605,0.004201336736456285,0.6299175856215743,0.08901143203510686,0.3900978633923611,0.10420731380275017,0.28294060342392024,0.6047664090132658,0.471246838841725,0.2777042250038966,0.912899355820942,0.46491580429673496,0.27146368922975805,0.9460935013468013,0.15544330196001255,0.12879989279154547,0.4729152954822108,0.9574134687185343,0.5044479678894642,0.6960915612037225,0.9301144981896311,0.32091180441017675,0.1958109513637225,0.010981916955603688,0.1579997361862997,0.7320269573506258,0.04586210240770394,0.402436196485782,0.8883889273373057,0.38789893146959964,0.3053796019360455,0.6588703299542621
27,0.32064563889463626,0.47086110590293195,0.000329394745097078,0.2920917593215099,0.5835149275606332,0.16850678178224276,0.8427420491757566,0.5668456040274744,0.136613894063352,0.05279514051888434,0.8581328331025386,0.8459470261119592,0.5455552712694347,0.9020939145410735,0.2703642234697845,0.8862858222700417,0.7533924521499084,0.10126741912549841,0.23840526386502814,0.4212601421280938,0.6091918504476946,0.6624581664967429,0.40592436966350065,0.8400856964097297,0.1704921918718274,0.5328023393341369,0.20549816149376066,0.7317277220260258,0.6338406428033018,0.5715601187740641,0.9859541628157273,0.46530101059416895
28,0.7759162156417102,0.9878032262558918,0.9816953308198149,0.30561252894629043,0.5038330593459994,0.5985162636803198,0.4132129235944376,0.4848670588123901,0.23488843432926076,0.7369026364016682,0.0035452454650422016,0.31845201416082636,0.7991342693451777,0.4203166990507129,0.15278893675272343,0.9404300081757289,0.724149424480198,0.540296771382539,0.6896475808093124,0.9120599699449717,0.5997259475413482,0.7503623171144318,0.4559291045319357,0.9236754993586536,0.7769084673899679,0.9056949954421324,0.05317915115154703,0.32845062977138895,0.1258039446659861,0.9619141618884529,0.04475511111170294,0.14681668667163605
29,0.6117737402439712,0.3705159181355955,0.27535366786264703,0.11268030792390116,0.31887466436344847,0.7275203499279073,0.4724187835334416,0.25433521613975507,0.9419134218710083,0.8250179541427741,0.6296061885712213,0.8749654639013765,0.8676573840706202,0.20644982345154816,0.6958165338210559,0.5190326215815417,0.6017144659528576,0.6398464344154047,0.5907567639862289,0.22686288447492453,0.5579650734781428,0.2008898014688364,0.5830385296708658,0.8719808246778691,0.27201821526889725,0.7349207725307905,0.1647501789426501,0.9862486204268985,0.3723789293001841,0.9112171622628306,0.9532656683508617,0.8552232411286932
30,0.6812958071513889,0.2147596989652495,0.17267056430861516,0.048558965083521866,0.3731726460162895,0.3286882603817022,0.07499371487243833,0.7969259376084096,0.832613800876911,0.17658196623985944,0.5260047689774088,0.8159730933534638,0.5832624778731289,0.7890741148119547,0.9351582897004221,0.6154421589547605,0.6026407812675486,0.9572547150513954,0.9154008007876965,0.5017711039929608,0.7124164711352572,0.2571249269203162,0.10244612986474766,0.7803857011660291,0.5015870316774192,0.20892712811855496,0.35747734539317044,0.0510287567106934,0.7528603688759296,0.7258801195739806,0.5283588738858449,0.2080855088337885
